employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5,8,0,49,0
65141,Operations,region_22,Bachelor's,m,other,1,30,5,4,0,60,0
7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3,7,0,50,0
2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1,10,0,50,0
48945,Technology,region_26,Bachelor's,m,other,1,45,3,2,0,73,0
58896,Analytics,region_2,Bachelor's,m,sourcing,2,31,3,7,0,85,0
20379,Operations,region_20,Bachelor's,f,other,1,31,3,5,0,59,0
16290,Operations,region_34,Master's & above,m,sourcing,1,33,3,6,0,63,0
73202,Analytics,region_20,Bachelor's,m,other,1,28,4,5,0,83,0
28911,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5,5,0,54,0
49017,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5,3,0,50,1
60051,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5,5,0,49,0
38401,Technology,region_29,Master's & above,m,other,2,39,3,16,0,80,0
77040,R&D,region_2,Master's & above,m,sourcing,1,37,3,7,0,84,0
43931,Operations,region_7,Bachelor's,m,other,1,37,1,10,0,60,0
7152,Technology,region_2,Bachelor's,m,other,1,38,3,5,0,77,0
9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1,4,0,51,0
26536,Operations,region_22,Master's & above,f,referred,2,38,5,8,0,72,1
48017,Sales & Marketing,region_2,Bachelor's,m,other,2,37,4,9,0,64,1
67421,Finance,region_28,Bachelor's,f,other,2,27,4,3,0,93,1
40540,Sales & Marketing,region_2,Bachelor's,f,other,1,25,2,3,0,46,0
68299,Procurement,region_17,Bachelor's,f,sourcing,1,51,4,3,0,73,0
70631,Technology,region_15,Bachelor's,f,other,1,43,2,5,0,84,0
76922,Finance,region_22,Master's & above,m,other,1,31,1,5,0,58,0
27890,Sales & Marketing,region_4,Master's & above,m,other,1,32,5,6,0,64,1
78250,Analytics,region_7,Bachelor's,m,sourcing,2,34,5,7,0,84,0
2580,Operations,region_26,Bachelor's,m,other,1,45,5,3,0,59,0
16306,Procurement,region_2,Bachelor's,m,other,2,31,3,7,0,69,0
49033,Operations,region_15,Master's & above,m,other,1,35,3,3,0,61,0
15137,Operations,region_32,Bachelor's,f,sourcing,1,38,4,4,0,63,0
74974,Technology,region_5,Bachelor's,f,other,2,27,1,4,0,81,0
11886,Finance,region_23,Bachelor's,m,other,1,32,1,9,0,60,0
39572,Finance,region_22,Bachelor's,m,other,3,36,4,6,0,58,0
21012,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,29,1,2,0,48,0
58818,Analytics,region_1,Master's & above,m,other,2,33,3,6,0,85,0
24871,Sales & Marketing,region_29,Bachelor's,m,sourcing,3,30,3,3,0,46,0
59296,Procurement,region_31,Bachelor's,m,sourcing,4,29,3,2,0,72,0
76508,Technology,region_22,Bachelor's,m,sourcing,1,30,2,3,0,78,0
53573,Operations,region_2,Bachelor's,m,other,1,54,2,27,0,61,0
41476,Analytics,region_2,Bachelor's,m,other,1,33,2,7,0,89,0
21549,Analytics,region_22,Master's & above,m,other,1,26,3,2,0,85,0
66243,Procurement,region_15,Master's & above,m,sourcing,2,41,1,6,0,69,0
38627,Operations,region_23,Bachelor's,m,sourcing,1,27,4,2,0,60,0
10697,Technology,region_27,Bachelor's,m,sourcing,1,24,3,2,0,89,1
12725,Operations,region_2,Bachelor's,m,sourcing,1,34,4,3,0,60,0
27171,Analytics,region_22,Bachelor's,m,other,3,28,3,5,0,85,1
12425,Technology,region_26,Bachelor's,m,other,1,31,1,5,0,77,0
32049,Operations,region_2,Bachelor's,f,other,1,55,1,9,0,60,0
10734,Operations,region_22,Bachelor's,m,other,1,55,4,2,0,64,0
15219,Operations,region_11,Bachelor's,m,other,1,42,4,13,0,57,0
35545,HR,region_22,Master's & above,m,sourcing,1,43,1,5,0,49,0
55213,Analytics,region_29,Bachelor's,m,sourcing,2,25,4,2,0,84,0
67781,Technology,region_16,Bachelor's,f,other,1,34,3,5,0,79,0
51000,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,39,5,5,0,45,0
46827,Technology,region_13,Bachelor's,f,other,1,29,4,5,0,79,0
23609,Operations,region_2,Bachelor's,f,sourcing,1,32,3,6,0,59,0
58512,Operations,region_8,Master's & above,f,sourcing,1,43,4,7,0,66,0
23718,Analytics,region_2,Bachelor's,m,sourcing,3,25,4,2,0,83,0
71748,Sales & Marketing,region_1,Bachelor's,m,sourcing,1,29,5,3,0,47,0
74839,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,40,5,10,0,51,0
58418,Procurement,region_31,Bachelor's,f,sourcing,1,34,2,7,0,68,0
46727,HR,region_22,Bachelor's,m,sourcing,1,27,2,2,0,49,0
69904,Sales & Marketing,region_4,Master's & above,m,sourcing,1,54,3,13,0,48,0
32944,Operations,region_22,Bachelor's,m,other,2,29,5,2,0,62,0
7447,Sales & Marketing,region_25,Master's & above,m,sourcing,1,34,2,6,0,49,0
47,Sales & Marketing,region_1,Bachelor's,m,other,1,34,1,10,0,82,1
18787,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,30,2,5,0,50,0
6624,Finance,region_26,Bachelor's,m,sourcing,2,26,3,3,0,61,0
25946,Technology,region_16,Bachelor's,m,sourcing,2,39,3,10,0,81,0
38913,Procurement,region_2,Bachelor's,f,other,1,54,3,19,0,73,0
69543,Operations,region_27,Bachelor's,m,sourcing,1,35,5,10,0,56,0
53251,Sales & Marketing,region_25,Bachelor's,m,other,1,30,5,2,0,52,0
11530,Analytics,region_2,Master's & above,m,other,3,59,5,25,0,89,1
69496,Technology,region_2,Master's & above,f,other,1,44,3,2,0,82,0
20119,Sales & Marketing,region_24,Bachelor's,m,sourcing,1,35,4,11,0,47,0
34896,Operations,region_26,Bachelor's,m,other,1,32,3,2,0,61,0
38171,Analytics,region_3,Bachelor's,m,sourcing,1,30,4,5,0,79,0
17889,Technology,region_17,Bachelor's,f,sourcing,1,31,4,5,0,79,0
40515,Procurement,region_17,Master's & above,f,other,1,35,4,6,0,72,0
35707,Analytics,region_25,Master's & above,m,sourcing,1,37,3,8,0,86,0
18800,Analytics,region_2,Bachelor's,m,other,2,48,4,6,0,86,0
71714,Sales & Marketing,region_14,Bachelor's,m,other,1,48,1,6,0,52,0
71201,Procurement,region_23,Master's & above,m,other,1,35,3,6,0,75,0
22694,Finance,region_2,Bachelor's,f,sourcing,1,39,3,4,0,75,1
21545,Technology,region_15,Bachelor's,m,sourcing,1,50,1,8,0,80,0
50522,Sales & Marketing,region_2,Master's & above,m,other,1,54,4,15,0,47,1
2909,Operations,region_15,Bachelor's,m,referred,2,38,5,5,0,56,0
42414,Sales & Marketing,region_7,Bachelor's,m,other,2,35,3,7,0,51,1
24097,Analytics,region_22,Bachelor's,m,other,3,27,4,2,0,86,0
63692,Operations,region_22,Bachelor's,m,other,1,41,3,3,0,57,0
37116,Procurement,region_7,Bachelor's,f,other,1,23,4,2,0,67,1
9833,Operations,region_13,Master's & above,f,other,1,38,4,4,0,60,0
16238,Sales & Marketing,region_2,Master's & above,f,sourcing,1,59,3,16,0,49,0
46118,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,33,5,7,0,47,0
69981,Procurement,region_24,Bachelor's,m,sourcing,1,39,1,8,0,66,0
54002,Technology,region_33,Bachelor's,m,other,1,51,1,9,0,80,0
74092,HR,region_23,Bachelor's,m,other,2,32,3,2,0,43,0
35034,Finance,region_2,Master's & above,f,sourcing,1,37,4,10,0,64,0
64619,Analytics,region_26,Bachelor's,m,other,1,34,3,9,0,82,0
68775,Operations,region_19,Bachelor's,m,sourcing,1,37,5,7,0,62,0
63639,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,31,2,4,0,49,0
23755,Procurement,region_2,Below Secondary,m,sourcing,1,23,1,2,0,68,0
28009,Sales & Marketing,region_15,Master's & above,m,other,1,35,3,3,0,55,0
51645,Analytics,region_2,Master's & above,m,other,1,58,5,29,0,86,1
55532,Finance,region_2,Below Secondary,m,sourcing,1,24,3,2,0,59,0
73015,Legal,region_2,Bachelor's,m,other,1,43,4,15,0,58,0
76202,Sales & Marketing,region_12,Bachelor's,m,sourcing,1,30,1,4,0,50,0
49847,Procurement,region_4,Master's & above,m,sourcing,2,38,3,3,0,73,0
44442,Sales & Marketing,region_3,Bachelor's,m,sourcing,1,37,1,4,0,48,0
59458,Technology,region_2,Master's & above,m,other,1,57,3,17,0,82,1
4648,Operations,region_13,Bachelor's,m,other,1,30,5,4,0,59,0
68734,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,44,2,6,0,47,0
5976,Sales & Marketing,region_22,Bachelor's,f,sourcing,3,31,1,6,0,46,0
14837,Sales & Marketing,region_9,Bachelor's,m,sourcing,1,25,3,2,0,46,0
53690,Operations,region_15,Master's & above,m,other,1,43,3,8,0,60,0
26696,Analytics,region_21,Bachelor's,m,other,1,32,3,6,0,83,0
24440,Analytics,region_28,Master's & above,m,other,1,42,5,3,0,81,0
31983,Analytics,region_6,Bachelor's,m,other,1,34,4,4,0,84,0
52858,Sales & Marketing,region_2,Bachelor's,m,other,1,40,1,11,0,47,0
25770,Procurement,region_10,Master's & above,f,sourcing,1,30,3,4,0,70,0
44724,Procurement,region_31,Bachelor's,f,other,1,37,4,4,0,71,0
19736,Technology,region_2,Master's & above,m,sourcing,1,33,3,9,0,82,0
56557,Sales & Marketing,region_23,Master's & above,m,sourcing,2,51,1,8,0,45,0
63429,Technology,region_8,Bachelor's,m,other,1,33,1,3,0,82,0
55992,Operations,region_28,Bachelor's,f,other,1,31,3,3,0,57,0
61947,Procurement,region_2,Bachelor's,f,other,1,30,1,6,0,69,0
63744,Sales & Marketing,region_7,Master's & above,m,other,1,41,5,15,0,51,0
26229,Technology,region_11,Bachelor's,m,other,1,29,5,1,0,79,0
38873,HR,region_2,Master's & above,f,other,1,48,3,5,0,49,1
23603,Technology,region_23,Bachelor's,m,other,1,28,3,3,0,79,0
43731,Finance,region_22,Bachelor's,m,other,1,24,3,3,0,91,1
44632,Sales & Marketing,region_16,Bachelor's,f,other,1,26,3,5,0,49,0
50558,Technology,region_7,Bachelor's,m,sourcing,1,31,4,3,0,77,0
7991,Technology,region_2,Below Secondary,m,other,1,22,3,2,0,83,0
37448,Operations,region_6,Bachelor's,m,other,2,29,1,2,0,57,0
62201,HR,region_32,Bachelor's,m,other,1,30,3,8,0,45,0
68796,Sales & Marketing,region_11,Bachelor's,m,other,2,31,3,8,0,46,0
71288,Sales & Marketing,region_34,Bachelor's,m,other,1,29,2,7,0,50,0
31419,Sales & Marketing,region_6,Bachelor's,m,sourcing,2,35,3,3,0,53,0
5811,Operations,region_15,Master's & above,m,other,1,38,4,7,0,58,0
40599,Procurement,region_8,Bachelor's,m,sourcing,1,29,2,6,0,70,0
16236,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,27,3,4,0,47,0
